developer,release_year,item_count,porcentaje_free
bluehole ginno games,2017,1,0.0
"bluehole inc.,en masse entertainment",2015,1,0.0
"bluehole studio,en masse entertainment",2015,4,0.0
"bluehole, inc.",2015,1,100.0
blueplant entertainment,2017,1,0.0
blueshift media,2017,2,0.0
bluestrike,2015,1,0.0
"bluish-green productions,throw away games",2016,1,0.0
blunt games,2016,1,0.0
blup games,2017,1,0.0
blyts,2016,2,0.0
bmc studio,2016,2,0.0
bmc studio,2017,3,0.0
bnk team,2017,1,0.0
bob games,2017,1,0.0
bob the game development bot,2015,1,0.0
bobbates llc.,2017,1,0.0
bocuma,2016,1,0.0
bogdan,2017,1,0.0
bogdanehi,2017,1,0.0
bogemic games,2016,2,0.0
bohemia interactive,2000,1,0.0
bohemia interactive,2007,1,0.0
bohemia interactive,2009,1,0.0
bohemia interactive,2010,3,0.0
bohemia interactive,2011,3,0.0
bohemia interactive,2012,4,0.0
bohemia interactive,2013,4,0.0
bohemia interactive,2014,4,0.0
bohemia interactive,2015,1,0.0
bohemia interactive,2016,1,0.0
bohemia interactive,2017,8,0.0
bohfam,2015,1,0.0
bohfam,2016,1,0.0
boiagames,2015,1,0.0
boidae games,2016,1,0.0
bojan brbora,2014,1,0.0
bolder games,2015,1,0.0
bolvërk games,2016,1,0.0
bomber studio,2016,1,0.0
bombservice,2016,2,0.0
boncho games,2016,1,0.0
boneloaf,2017,1,0.0
bonfire entertainment,2017,1,0.0
bonfire games,2016,1,0.0
bongfish gmbh,2014,1,0.0
bonion games,2017,1,0.0
bono games,2017,1,100.0
bonusxp,2015,1,100.0
boogygames studios,2015,2,0.0
boogygames studios,2017,42,0.0
boogygames studios,2018,1,0.0
"bookmark games,hexwar games",2016,1,0.0
boolat entertainment,2016,1,0.0
boolat entertainment,2017,1,0.0
boolat games,2017,2,0.0
"boolat games,alawar entertainment",2012,1,0.0
boombox,2017,1,0.0
boomcat studios,2017,1,0.0
boomzap entertainment,2016,6,16.67
boomzap entertainment,2017,6,16.67
bootsnake games,2012,1,0.0
boozer game studios,2017,1,0.0
borderline inappropriate game studios ltd,2017,1,0.0
"boreal sun,rogue star",2016,1,0.0
borealys games,2017,2,0.0
born ready games,2014,1,0.0
born ready games ltd.,2013,5,0.0
born in 1978,2017,1,0.0
borne games,2017,1,0.0
borokai studio,2017,2,50.0
"borov,sashka shlapik",2017,1,100.0
boss baddie,2009,1,0.0
boss baddie,2012,1,0.0
boss key productions,2017,2,0.0
bossa studios,2013,1,0.0
bossa studios,2014,1,0.0
bossa studios,2015,1,0.0
bossa studios,2016,1,100.0
bossman games,2016,1,0.0
bossman games,2017,4,0.0
bottlecube inc.,2016,2,0.0
bottlecube inc.,2017,3,0.0
bouchard industries,2016,1,0.0
bourbontank,2017,1,0.0
bowlcut studios,2017,1,0.0
boxfrog games,2017,1,0.0
boxelware,2017,1,0.0
bplusgames,2016,3,0.0
brace yourself games,2014,1,0.0
brace yourself games,2015,3,0.0
brace yourself games,2016,1,0.0
brace yourself games,2017,6,0.0
brackish games,2017,1,0.0
brad moore,2016,1,100.0
brad moore,2017,1,0.0
"bradley elam,colton bone",2015,1,0.0
brain bombers,2011,1,0.0
brain candy,2012,1,100.0
brain machine,2017,1,0.0
brain seal ltd,2015,1,0.0
brain seal ltd,2016,1,0.0
brain seal ltd,2017,1,0.0
brain slap studio,2013,1,0.0
brain stone gmbh,2017,1,100.0
brain and nerd ltd,2015,1,0.0
brain&amp;brain,2016,2,0.0
braindead games,2015,1,0.0
braindistrict,2013,1,0.0
braingoodgames,2015,1,0.0
braingoodgames,2016,3,0.0
braingoodgames,2017,2,0.0
brainagi games,2017,1,0.0
"brainbox games,hip games",2003,1,0.0
brainbox software,2015,2,0.0
brainchild,2015,2,0.0
brainchild,2016,2,0.0
brainseed factory,2016,2,0.0
brainshape games,2015,2,0.0
brainwash gang,2017,2,0.0
brainwashing games,2016,1,0.0
brainwashing games,2017,1,0.0
brainwashing games,2015,1,0.0
brainy studio llc,2016,1,0.0
brandon brizzi,2012,1,0.0
brandon brizzi,2015,2,0.0
brandon brizzi,2016,2,0.0
brandon dominguez,2017,1,0.0
brandon gallo,2017,1,0.0
brandon serowski,2017,1,0.0
brantisky interactive,2017,1,0.0
brashmonkey,2014,1,0.0
brashmonkey,2015,5,0.0
brashmonkey,2016,3,0.0
brashmonkey,2017,2,0.0
brave bunny,2016,2,50.0
brave giant ltd,2014,1,0.0
brave giant ltd,2015,1,0.0
brave giant ltd,2016,4,0.0
brave giant ltd,2017,4,0.0
brave little studios,2017,1,100.0
brave rabbit games,2017,1,100.0
brawsome,2010,1,0.0
brawsome,2012,1,0.0
bread machine games,2015,1,0.0
"bread team,victor solodilov,denis novikov",2017,2,0.0
bread vision studios llc.,2015,1,0.0
bread vision studios llc.,2016,1,0.0
breakfall,2014,2,0.0
breakfall,2015,1,0.0
breaking fourth,2015,1,0.0
breakout studio,2017,1,100.0
brendan wiltshire,2017,1,0.0
brendon pywell,2015,1,0.0
brent seeley,2016,1,0.0
bretwalda games,2016,2,0.0
brewsterland studios,2017,4,25.0
brian cronin,2010,1,0.0
brian cullen,2015,1,0.0
brian franco,2017,1,0.0
"brian lancaster,laughing coyote software",2017,1,0.0
brian o'keefe,2017,1,0.0
brickcream,2016,1,0.0
brightrock games,2015,2,0.0
brightrock games,2016,2,50.0
brightrock games,2017,3,0.0
brightside games,2011,1,0.0
"brilliant blue-g, llc",2017,1,0.0
brilliant skies ltd.,2014,1,0.0
brimo studio,2016,3,0.0
brimo studio,2017,1,0.0
bristol street studios,2017,1,100.0
brogames,2017,1,0.0
broguelike,2017,2,0.0
broken arms games pty ltd,2016,1,0.0
broken arms games pty ltd,2017,1,0.0
broken code games,2017,1,0.0
broken desk,2016,1,0.0
broken rules,2009,1,0.0
broken rules,2014,2,0.0
broken rules,2017,1,0.0
"brokenkites,izhard",2017,1,0.0
bromoco games,2016,1,0.0
brothers flint,2016,1,0.0
browny application,2014,1,0.0
brucefilm,2015,2,50.0
bruno freitas,2016,1,0.0
bruno martiol,2017,1,100.0
brushfire games,2014,1,0.0
brushfire games,2015,3,0.0
brutal muse studio,2017,1,0.0
brutal studio,2016,1,0.0
bryan baumeister,2017,1,0.0
bryan gale,2017,2,0.0
bryson macduff,2017,1,0.0
brytenwalda,2014,1,0.0
brzezinski,2016,2,50.0
brzezinski,2017,5,0.0
bubble head games,2015,1,0.0
buce studios llc,2017,1,0.0
"buddy cops, llc",2016,2,50.0
budgie games,2017,1,0.0
"buff studio co.,ltd.",2015,1,0.0
bufoproject,2017,1,0.0
bugbear,2014,1,0.0
bugbear entertainment,2005,1,0.0
bugbear entertainment,2006,1,0.0
bugbear entertainment,2008,1,0.0
bugbyte ltd.,2016,1,0.0
bugbyte ltd.,2017,1,0.0
buka development,2016,2,0.0
"buka development,saturn plus",2017,1,0.0
"buka entertainment,lesta studio",2006,1,0.0
buka game studio,2016,2,50.0
buko studios,2014,1,0.0
bulathard,2016,1,0.0
bulbware,2015,2,50.0
bulbware,2016,1,0.0
bulkhead interactive,2016,2,0.0
bulkhead studios corporation,2015,1,0.0
bulldog interactive,2016,1,0.0
bulletproof outlaws,2016,1,0.0
bullid games,2017,3,0.0
bulls bros,2017,1,0.0
bulwark studios,2014,1,0.0
bulwark studios,2015,1,0.0
bumfuzzled gibbons,2017,1,0.0
bumpkinbrothers,2013,1,0.0
bumpkinbrothers,2014,1,0.0
bumpy trail games,2017,1,100.0
bunchod00dz,2017,4,25.0
bundle of sticks studios,2018,1,0.0
bunny on caffeine llc,2017,1,0.0
bunnycopter,2016,1,0.0
bunyap campaigns,2017,1,0.0
burak dabak,2016,1,0.0
burak yücel,2016,1,100.0
burgee games,2017,1,0.0
burian media enterprises,2014,1,0.0
buried signal,2017,2,0.0
"burnin ape,onivia games",2016,1,0.0
burning dog media,2015,1,100.0
burning ice games,2016,1,0.0
burning pick entertainment,2017,1,0.0
burnt fuse,2015,1,0.0
burrito studio,2015,2,0.0
burst,2016,1,0.0
burstray games,2015,2,0.0
burstray games,2016,3,0.0
burstray games,2017,9,0.0
burut ct,2007,1,0.0
burut ct,2008,1,0.0
burut ct,2012,1,0.0
bustrainz,2017,1,0.0
butlerstyle entertainment,2016,1,0.0
butterchain,2017,1,0.0
butterflyware,2016,1,0.0
butterflyware,2017,1,0.0
butterscotch shenanigans,2016,2,0.0
bynia,2017,1,0.0
bysamb,2017,1,0.0
"byte-up co., ltd.",2015,1,0.0
"byte4games,starcruiser studio",2016,1,0.0
byterockers' games,2015,1,100.0
byterockers' games,2017,2,0.0
bytetrail software,2015,1,0.0
bytebin,2015,1,100.0
bytes of learning,2013,1,0.0
bytesprite,2017,1,0.0
byting games,2017,1,100.0
bytro labs gmbh,2017,1,100.0
byulbram,2016,1,0.0
byzantine games,2011,1,0.0
byzantine games,2016,8,0.0
byzantine games,2017,2,0.0
"byzantine games,the lordz games studio",2015,1,0.0
c-drive media art,2016,1,0.0
c.i.n.i.c. games,2017,1,0.0
"c.u.m原创游戏,幽兰工房",2017,1,0.0
c3 games inc,2016,1,0.0
c3sk,2015,1,0.0
"c3sk,robin finck,pedro pimentel",2015,1,0.0
c63 industries,2015,2,50.0
capcom,2016,3,0.0
"capcom co., ltd",2017,1,0.0
"capcom co., ltd.",2010,2,0.0
"capcom co., ltd.",2017,1,0.0
"capcom co., ltd.",2006,1,0.0
"capcom co., ltd.",2007,1,0.0
"capcom co., ltd.",2012,1,0.0
"capcom co., ltd.",2015,11,0.0
"capcom co., ltd.",2016,8,25.0
"capcom co., ltd.",2017,13,46.15
casgames,2017,3,0.0
cat in jar games,2015,1,100.0
cat in jar games,2017,1,0.0
catom games,2017,1,0.0
"cave interactive co.,ltd.",2015,3,0.0
"cave interactive co.,ltd.",2016,12,0.0
"cave interactive co.,ltd.",2017,1,0.0
cavyhouse,2015,2,0.0
cbe software s.r.o.,2014,1,0.0
cbe software s.r.o.,2016,1,0.0
cbe software s.r.o.,2014,2,0.0
cccp,2014,1,0.0
cccp,2015,2,50.0
ccp,2003,1,100.0
ccp,2017,21,0.0
cd jones,2016,1,0.0
cd projekt red,2008,1,0.0
cd projekt red,2011,1,0.0
"cd projekt red,can explode",2014,1,0.0
cd projekt red,2008,1,100.0
cdp,2016,1,0.0
"cfk co., ltd.",2016,4,0.0
"cfk co., ltd.",2017,3,0.0
cggames,2016,2,0.0
ci games,2008,1,0.0
ci games,2013,1,0.0
ci games,2014,2,0.0
ci games,2017,10,0.0
"ci games,deck 13",2014,9,11.11
"ci games,deck 13",2015,1,0.0
"cinemax, s.r.o.",2006,1,0.0
"cinemax, s.r.o.",2008,1,0.0
"cinemax, s.r.o.",2010,1,0.0
"cinemax, s.r.o.",2012,2,0.0
"cinemax, s.r.o.",2015,2,0.0
"cinemax, s.r.o.",2016,3,0.0
"cinemax, s.r.o.",2017,8,25.0
"city connection,chara-ani",2017,1,0.0
cjh labs,2017,1,0.0
cjworks,2017,1,0.0
clo virtual fashion,2017,1,0.0
cm softworks,2015,1,0.0
cm softworks inc.,2017,1,0.0
cocosola,2017,1,0.0
"colopl, inc.",2016,3,0.0
"compile heart,idea factory",2017,4,0.0
cosen,2016,1,0.0
cowcat,2016,3,0.0
cp decision,2015,1,0.0
cpsoft,2015,2,0.0
cpsoft,2016,2,50.0
cracked piston llc 2014,2016,1,0.0
crass studios,2016,1,0.0
crazy sector,2017,1,100.0
"crazydiamond co., ltd.",2016,1,100.0
creant co.,2016,1,100.0
creativ game developer llc.,2017,1,0.0
crio studios,2017,1,0.0
crj games,2017,1,0.0
"cs squared games,among giants",2015,1,0.0
csgames,2017,2,0.0
csm,2017,4,0.0
"csm,excellente23",2017,2,0.0
csr-studios,2012,1,0.0
ctgames,2016,1,0.0
cute anime girls,2017,3,0.0
"cwavesoft, inc.",2017,1,0.0
cwdi games llc,2017,1,0.0
cwh entertainment,2017,1,0.0
cabygon,2015,2,0.0
caden goodwin,2017,1,0.0
cadence games,2016,1,100.0
cadenza interactive,2010,1,0.0
cadenza interactive,2013,1,0.0
caesoose studios,2016,1,0.0
cake collective games,2016,1,100.0
cake collective games,2017,1,0.0
cakeeatergames,2017,1,100.0
"caleb hooper,christian hooper",2016,1,0.0
calepin studio,2016,1,0.0
caliburn studio,2017,1,100.0
"callipygian games, llc",2007,1,100.0
calvin weibel,2016,1,0.0
calvino noir limited,2015,1,0.0
camagames,2017,1,0.0
camaquem,2016,2,0.0
camel 101,2015,1,0.0
camel 101,2016,1,0.0
camel101 llc,2012,1,0.0
"cameron baxter,billy jazz hills stickley",2015,1,100.0
cameron kunzelman,2015,3,0.0
camex games,2017,2,100.0
camouflaj,2015,2,0.0
campfire games,2017,1,100.0
campo santo,2016,2,0.0
campus adn 2015-2016,2017,1,100.0
camshaft software,2015,2,0.0
canalside studios,2016,1,0.0
canalside studios,2017,1,0.0
candlelight studios,2015,1,0.0
candy smith,2017,1,0.0
candycane games,2016,1,100.0
candygun games,2013,3,0.0
cannibal interactive,2015,1,0.0
cannibal panda studios,2016,1,0.0
"cantina games and entertainment, inc.",2015,1,0.0
canu arts,2016,1,0.0
canuck play inc.,2017,1,0.0
capcom,2008,2,0.0
capcom,2009,3,0.0
capcom,2011,8,0.0
capcom,2013,14,0.0
capcom,2014,21,0.0
capcom,2015,33,0.0
capcom,2016,9,11.11
capcom,2017,40,2.5
capcom game studio vancouver,2014,1,0.0
"capcom game studio vancouver, inc.",2017,10,0.0
"capcom u.s.a., inc",2012,2,0.0
"capcom u.s.a., inc",2013,7,0.0
"capcom u.s.a., inc.",2012,41,0.0
"capcom u.s.a., inc.",2013,10,0.0
capcom vancouver,2010,1,0.0
capcom vancouver,2011,1,0.0
capcom vancouver,2012,4,100.0
capcom vancouver,2015,4,0.0
"capcom,digital eclipse",2017,1,0.0
cape copenhagen,2014,1,0.0
cape of games llc,2016,1,0.0
capribyte studios,2015,1,0.0
caps lock solutions,2016,1,0.0
capsule three,2017,1,0.0
capt mccay soft,2017,1,0.0
capt. mccay soft,2017,1,0.0
captain games,2014,1,0.0
capturing reality,2016,1,0.0
capybara games,2011,2,0.0
capybara games,2012,1,0.0
capybara games,2014,1,0.0
"capybara games,6955",2014,1,0.0
"capybara,superbrothers,jim guthrie",2012,1,0.0
carvin interactive,2016,1,0.0
carx technologies,2017,5,0.0
caracal games,2017,1,0.0
caravel games,2005,1,0.0
caravel games,2012,1,0.0
caravel games,2014,1,0.0
caravel games,2016,12,0.0
carbine studios,2014,1,100.0
carbine studios,2016,6,0.0
carbomb software,2017,2,0.0
"carbomb software,nova dimension",2016,1,0.0
carbon,2015,1,0.0
carbon games,2012,3,33.33
carbon games,2013,1,0.0
carbon games,2017,1,0.0
carbon studio,2016,3,100.0
cardboard computer,2013,1,0.0
cardboard keep,2016,2,0.0
cardboard keep,2017,3,33.33
cardboard robot games,2016,1,0.0
cardboard utopia,2017,2,0.0
carenado,2014,9,0.0
carenado,2015,14,0.0
carenado,2016,1,0.0
carenado,2017,6,0.0
cargiolli luciano,2016,1,0.0
cargo cult gaming llc,2017,1,0.0
carl burton,2016,1,0.0
carl games,2017,1,0.0
carlo d'apostoli projects,2014,2,0.0
carlo d'apostoli projects,2015,4,0.0
carlos vázquez ordóñez,2015,1,0.0
carlotta tatti,2015,1,0.0
carlsen games,2013,1,0.0
carlsen games,2016,1,0.0
carlsen games,2017,2,0.0
carmine t. guida,2013,1,100.0
carmine t. guida,2015,2,0.0
carnivore games,2017,1,0.0
cartboard games,2016,1,0.0
cascade game foundry,2016,7,14.29
cascade game foundry spc,2017,1,0.0
"case in point studios, llc",2015,1,0.0
casey labrack,2018,1,0.0
cashcowgames,2016,1,0.0
casioqu,2017,1,0.0
casiualogic,2015,1,0.0
cassandra clery,2017,1,100.0
castle,2017,1,0.0
"castle pixel, llc.",2014,1,0.0
"castle pixel, llc.",2017,2,50.0
castleabra studios,2015,1,0.0
casual box games,2011,1,0.0
casual brothers,2014,1,0.0
casual brothers,2017,1,0.0
casual labs,2015,2,50.0
casualogic,2016,1,0.0
casualogic,2017,1,0.0
cat daddy games,2017,1,0.0
cat nigiri,2017,2,0.0
cat nigiri,2018,1,100.0
cat rabbit,2015,1,0.0
cat rabbit,2016,1,0.0
cat trap studios,2016,1,0.0
cat5games,2015,1,0.0
catalope games,2017,1,0.0
cateia,2016,1,0.0
cateia,2017,1,0.0
cateia games,2015,1,0.0
cateia games,2010,2,0.0
cateia games,2011,1,0.0
cateia games,2014,7,0.0
cateia games,2015,2,0.0
cateia games,2017,1,0.0
catness game studios,2017,1,0.0
catobyte,2017,1,0.0
catom games,2017,1,0.0
cats who play,2015,1,0.0
cats who play,2016,1,0.0
cats who play,2017,3,0.0
catstudio,2016,1,0.0
cauldron,2003,1,0.0
causa creations,2017,1,100.0
causal bit games inc.,2014,1,0.0
causal bit games inc.,2017,1,100.0
"cavalier game studios,tequila works",2017,2,0.0
cavedave,2017,1,0.0
cavedog entertainment,1997,1,0.0
cavelight entertainment,2015,1,0.0
ceiba software and arts,2015,1,0.0
celeris,2015,1,0.0
celeris,2016,1,100.0
celery emblem™,2017,1,0.0
celestial games,2014,1,0.0
celianna,2016,1,0.0
"celianna,degica",2014,1,0.0
"celianna,degica,enterbrain",2015,1,0.0
cellar door games,2013,1,0.0
cellbloc studios,2015,1,0.0
cellbloc studios,2017,1,0.0
celsius game studios,2014,1,0.0
cemil tasdemir,2015,1,0.0
centauri production,2009,1,0.0
centauri production,2010,2,0.0
centauri production,2014,1,0.0
centrosphere game,2017,1,0.0
certain affinity™,2009,1,100.0
cesar g.,2017,1,0.0
ceylon entertainment,2017,1,0.0
ch.zbk,2017,1,0.0
chair entertainment,2016,2,0.0
"chad close,kyle weik",2016,2,0.0
chad meffert,2017,1,100.0
chadams studios,2018,1,0.0
chadrick evans,2016,1,0.0
chainsaw syndicate,2015,1,0.0
chainsawesome games,2014,1,0.0
chainsawesome games,2015,2,0.0
chainsawesome games,2017,1,100.0
chairkilling,2017,1,0.0
chandler rounsley,2016,1,0.0
chano h. hansen,2017,1,0.0
chao's playmate,2017,1,0.0
chaoye liu,2017,1,0.0
chaos concept,2010,1,0.0
chaos industries,2015,1,0.0
chaoscore ug,2016,1,0.0
chaosoft games,2014,1,0.0
chaphat,2015,1,0.0
"charles university,czech academy of sciences",2017,1,0.0
charlie evans,2016,1,0.0
charlie fleed,2017,1,0.0
charlieh,2016,2,0.0
charlieh,2017,1,0.0
charm games,2017,1,0.0
charyb games,2015,1,0.0
charyb games,2016,1,0.0
charybdis ltd,2015,2,0.0
chashu entertainment,2016,1,0.0
chasing carrots,2015,1,0.0
chasing carrots,2017,1,0.0
"chasing carrots,schnack music manufacture",2015,1,100.0
"chasing carrots,schnack music manufacture",2017,1,100.0
cheat code studios,2017,1,0.0
checkmark games,2016,1,0.0
cheese and bacon games,2012,1,0.0
chemblock,2017,1,0.0
chengen zhao,2017,1,0.0
chequered ink ltd.,2015,1,0.0
chequered ink ltd.,2016,1,0.0
cheritz,2015,1,0.0
cherry co. studios,2015,1,0.0
cherry pie games,2017,1,0.0
cherry pop games,2013,1,0.0
cherry pop games,2014,7,0.0
cherry pop games,2015,8,12.5
cherry pop games,2016,1,0.0
cherry-sama,2015,1,100.0
cherrymochi,2017,2,50.0
chess no choke games,2017,1,0.0
chessbase,2014,2,0.0
chessbase,2016,4,0.0
chessbase gmbh,2016,1,0.0
chessbase,2013,1,0.0
chessbase,2016,6,0.0
chewa,2016,1,0.0
chicago &amp; southwest productions,2015,1,0.0
chicken in the corn,2014,1,0.0
chickenpig software,2017,1,0.0
child-dream,2017,1,0.0
childish things,2014,1,0.0
childish things,2015,1,0.0
childish things,2016,1,0.0
childish things,2017,1,0.0
chimera entertainment,2015,2,0.0
chipzel,2015,1,0.0
chjonn studios,2017,1,0.0
chocoarts,2015,1,0.0
"chocolate homunculus,tilt studios",2016,1,0.0
chocolate liberation front,2015,1,0.0
chocolate ship games,2017,1,0.0
choice provisions,2015,1,0.0
choice provisions,2016,1,0.0
choice of games,2010,1,0.0
choice of games,2012,9,22.22
choice of games,2013,15,26.67
choice of games,2014,15,33.33
choice of games,2015,24,45.83
choice of games,2016,14,0.0
choice of games,2017,22,0.0
chondrite games,2016,1,0.0
"chongqing shangshixuan technology co., ltd.,",2017,1,0.0
choose multiple llc,1986,1,0.0
chris antoni,2016,2,0.0
chris antoni,2017,1,0.0
"chris antoni,rob guenther",2017,1,0.0
chris bell - creative design studios,2016,5,0.0
chris bell - creative design studios,2017,9,0.0
chris bell – creative design studios,2016,4,0.0
chris bell – creative design studios,2017,1,0.0
"chris christodoulou,yeti trunk",2015,1,0.0
"chris chung,fire hose games",2015,1,0.0
chris germano,2017,1,0.0
chris hopkin,2015,1,0.0
"chris johnson,chris larkin",2015,1,0.0
chris larkin,2015,1,0.0
chris mailloux,2016,1,0.0
chris mcfarland,2015,2,50.0
chris parsons,2016,2,0.0
chris patton,2017,1,0.0
chris sawyer,2004,1,0.0
chris sawyer productions,1999,1,0.0
chris sawyer productions,2002,1,0.0
chris_antoni,2017,1,0.0
christ laurenz sambrano,2016,1,0.0
christian merz,2016,1,0.0
christian merz,2017,1,0.0
christian piano,2016,1,0.0
christian piano,2017,1,0.0
"christian piano,wrytex",2016,1,100.0
christian reuter,2016,1,0.0
christian rolle,2016,1,0.0
christian vandagrift,2016,1,0.0
"christian whitehead,headcannon,pagodawest games",2017,1,0.0
christoffer ryrvall,2017,1,0.0
christopher cinq-mars jarvis,2014,1,0.0
christopher cinq-mars jarvis,2015,1,100.0
christopher howard,2017,2,50.0
chromatic dream,2014,1,0.0
chromosphere games,2017,1,0.0
chronic logic,2013,1,0.0
chronicle bench,2015,1,0.0
chronicle games,2016,1,0.0
chronicle games,2017,1,0.0
chronik spartan,2017,1,0.0
chronobit studios,2017,1,0.0
chronos unterhaltungssoftware,2018,1,100.0
chronova,2017,1,0.0
chu xiaosong,2017,1,0.0
"chu-3,bakufu narayama",2015,2,50.0
"chu-3,bakufu narayama",2017,1,0.0
chumoran,2017,1,0.0
chubiri,2017,2,0.0
chuck productions,2016,1,0.0
chucklefish,2016,1,0.0
chun y.,2017,1,0.0
cielosim,2016,1,0.0
cilufer's app,2018,1,100.0
cinemaware,2014,2,0.0
cipher hive,2017,3,66.67
cipher prime studios,2011,1,0.0
cipher prime studios,2012,4,0.0
cipher prime studios,2013,1,0.0
"circle five studios,pub games",2015,2,0.0
circumlocutory games,2017,1,0.0
circus,2017,1,0.0
circus atos,2017,1,0.0
citeremis inc.,2009,1,0.0
citeremis inc.,2015,1,0.0
city interactive,2008,1,0.0
city interactive,2009,2,0.0
city interactive,2010,2,0.0
city interactive,2011,1,0.0
city interactive,2012,3,0.0
city interactive,2013,3,0.0
city quests media uk,2017,1,0.0
civilsavages,2015,1,0.0
civilsavages,2016,2,100.0
civilsavages,2017,1,0.0
clapfoot,2016,1,0.0
clarus victoria,2013,1,0.0
clarus victoria,2015,2,50.0
clarus victoria,2016,1,0.0
class of  2016-2017,2017,1,100.0
class of 2015-2016,2017,1,100.0
class-x games,2017,2,0.0
classic game software,2017,1,0.0
classplash,2017,1,0.0
classroom graffiti productions,2017,2,0.0
"claudio norori,antonio vargas,martin norori",2014,1,0.0
claws of lorek,2016,1,0.0
cleanwatersoft,2013,1,0.0
cleanwatersoft,2015,1,0.0
cleanwatersoft,2016,1,0.0
cleanwatersoft,2017,1,100.0
clear light games,2017,1,0.0
cleiton oliveira,2017,1,0.0
cleril calamity studios,2016,1,0.0
cleveland mark blakemore,2017,1,0.0
clever endeavour games,2016,2,0.0
clever-plays,2016,1,0.0
cleverweek,2015,6,0.0
cleverweek,2016,6,0.0
cleverweek,2017,1,0.0
clewcat games,2014,1,0.0
clewcat games,2016,2,0.0
cliax games,2015,1,0.0
clickgames,2016,1,0.0
clickgames,2017,2,0.0
clickshake games llc,2012,1,0.0
clickteam,2013,4,0.0
clickteam,2014,2,0.0
clickteam,2016,3,33.33
clickteam,2017,2,0.0
cliffhanger productions,2015,10,0.0
cliffhanger productions,2016,2,0.0
"cliffhanger productions,catalyst games lab",2015,1,0.0
clifftop games,2016,1,0.0
climax studios,2005,1,0.0
climax studios,2010,1,0.0
climax studios,2015,1,0.0
climax studios,2016,2,0.0
climax studios,2017,1,0.0
cloak and dagger games,2017,3,0.0
clockstone,2013,1,0.0
clockstone,2014,2,0.0
clockstone,2016,2,0.0
clockstone,2017,1,0.0
clockstone studios,2010,1,0.0
clockwork acorn,2014,1,0.0
"clockwork anomaly, llc",2017,1,0.0
clockwork pixels,2016,1,100.0
clockwork pixels ltd,2016,1,0.0
clone corps,2016,1,0.0
clorithstudio,2016,1,0.0
cloud 9 studio,2012,1,100.0
cloud 9 studio,2014,2,0.0
cloudscapegt,2017,2,50.0
cloudthewolf games,2016,1,100.0
cloudthewolf games,2017,1,0.0
cloudweight studios,2017,1,0.0
"cloudcade, inc.",2016,1,100.0
cloudhead games ltd.,2017,1,100.0
clouds and blue,2016,2,50.0
club cotton games,2017,1,0.0
coaguco industries,2015,2,50.0
coatsink,2014,1,0.0
"coatsink,secret lunch",2016,1,0.0
cobalt flow studios,2017,1,0.0
cobra mobile,2011,1,0.0
cobra mobile,2012,3,0.0
cobra mobile,2013,2,0.0
cobra mobile,2017,1,0.0
cockroach inc.,2012,2,0.0
cockroach inc.,2013,2,50.0
cockroach inc.,2014,1,0.0
cockroach inc.,2017,1,0.0
cococucumber,2015,1,0.0
coconut games,2017,1,0.0
coconut island studio,2017,1,0.0
"coconut island studio,elecrystal music",2017,1,0.0
coconut shavers,2017,1,100.0
coconut tree studio,2017,2,0.0
codalyn,2017,1,0.0
code avarice,2016,1,0.0
code club ab,2015,1,0.0
code force,2014,1,0.0
code horizon,2017,2,0.0
code mystics,2016,1,0.0
codebrush games,2014,1,100.0
codebullet,2017,1,0.0
codemanu,2017,2,50.0
codeglue,2016,1,0.0
codemasters,2014,2,0.0
codemasters,2015,1,0.0
codemasters,2017,5,0.0
codemasters action studio,2011,1,0.0
codemasters birmingham,2011,1,0.0
codemasters birmingham,2012,12,0.0
codemasters birmingham,2013,3,0.0
codemasters digital,2014,1,0.0
"codemasters racing,feral interactive (mac)",2013,13,7.69
"codemasters racing,feral interactive (mac),feral interactive (linux)",2014,13,15.38
codemasters studios,2009,1,0.0
"codemasters,feral interactive (linux)",2015,1,0.0
"codemasters,feral interactive (mac)",2016,1,0.0
"codemasters,feral interactive (mac),feral interactive (linux)",2017,1,0.0
codename entertainment inc.,2015,1,100.0
codename entertainment inc.,2016,3,0.0
codename entertainment inc.,2017,11,9.09
codespace,2016,1,0.0
codevictus inc.,2017,1,0.0
codex worlds,2016,2,50.0
codex worlds,2017,1,100.0
codex7,2017,3,0.0
code}{atch,2015,1,0.0
codrer,2017,1,0.0
coffee addict studio,2016,1,0.0
coffee powered machine,2016,4,0.0
coffee stain studios,2011,3,33.33
coffee stain studios,2012,2,50.0
coffee stain studios,2013,7,0.0
coffee stain studios,2014,4,25.0
coffee stain studios,2016,1,0.0
cogent education,2017,3,0.0
cogg games ltd,2017,1,0.0
coilworks,2014,3,33.33
"coilworks,double eleven",2017,1,0.0
coin operated games,2017,1,0.0
cold beam games,2010,2,0.0
cold beam games,2011,1,0.0
cold beam games,2014,1,0.0
cold tea studio,2016,2,50.0
coldrice games llc,2015,1,0.0
"coldwild games,vladimir slav,elena nazarenko",2017,1,0.0
"coldwild games,vladimir slav,helen nazarenko",2017,1,0.0
coldwood interactive,2007,1,0.0
cole kitroser,2017,1,100.0
"cole neumann,albin bernhardsson",2015,1,0.0
colepowered games,2015,1,0.0
colibri games,2011,1,0.0
colin eump,2017,1,0.0
colin jones &amp; the potassium frog,2016,4,25.0
colin northway with art by thomas shahan,2013,1,0.0
